Lambda  loss
1.00079643948e-05      0.354705
1.00180378366e-05      0.354705
1.00281112783e-05      0.354704
1.00381847201e-05      0.354704
1.00482581619e-05      0.354703
1.00583316036e-05      0.354703
1.00684050454e-05      0.354702
1.00784784872e-05      0.354702
1.00885519289e-05      0.354701
1.00986253707e-05      0.354701
1.01086988125e-05        0.3547
1.01187722542e-05        0.3547
1.0128845696e-05      0.354699
1.01389191378e-05      0.354699
1.01489925795e-05      0.354698
9.84167390691e-06      -1.86332
9.85175242601e-06      -1.86553
9.86183094512e-06      -1.86711
9.87190946422e-06      -1.87001
9.88198798333e-06      -1.87195
9.89206650244e-06      -1.87451
9.90214502154e-06      -1.87678
9.91222354065e-06      -1.87918
9.92230205975e-06      -1.88124
9.93238057886e-06      -1.88323
9.94245909797e-06      -1.88582
9.95253761707e-06      -1.88782
9.96261613618e-06      -1.89021
9.97269465528e-06      -1.89257
9.98277317439e-06      -1.89441
9.9928516935e-06      -1.89729
1.00029302126e-05      0.354705
1.00130087317e-05      0.354705
1.00230872508e-05      0.354704
1.00331657699e-05      0.354704
1.0043244289e-05      0.354703
1.00533228081e-05      0.354703
1.00634013272e-05      0.354702
1.00734798463e-05      0.354702
1.00835583654e-05      0.354701
1.00936368846e-05      0.354701
1.01037154037e-05        0.3547
1.01137939228e-05        0.3547
1.01238724419e-05      0.354699
1.0133950961e-05      0.354699
1.01440294801e-05      0.354698
1.01541079992e-05      0.354698
9.83671338578e-06       -1.8621
9.84678682499e-06      -1.86464
9.8568602642e-06      -1.86681
9.86693370341e-06      -1.86911
9.87700714261e-06      -1.87097
9.88708058182e-06      -1.87323
9.89715402103e-06      -1.87577
9.90722746023e-06      -1.87779
9.91730089944e-06      -1.88005
9.92737433865e-06      -1.88217
9.93744777786e-06      -1.88467
9.94752121706e-06      -1.88684
9.95759465627e-06      -1.88917
9.96766809548e-06      -1.89144
9.97774153468e-06      -1.89399
9.98781497389e-06      -1.89657
9.9978884131e-06      -1.89824
1.00079618523e-05      0.354705
1.00180352915e-05      0.354705
1.00281087307e-05      0.354704
1.00381821699e-05      0.354704
1.00482556091e-05      0.354703
1.00583290483e-05      0.354703
1.00684024875e-05      0.354702
1.00784759268e-05      0.354702
1.0088549366e-05      0.354701
1.00986228052e-05      0.354701
1.01086962444e-05        0.3547
1.01187696836e-05        0.3547
1.01288431228e-05      0.354699
1.0138916562e-05      0.354699
1.01489900012e-05      0.354698
9.84167140664e-06      -1.86345
9.85174992319e-06      -1.86537
9.86182843973e-06      -1.86809
9.87190695628e-06      -1.86998
9.88198547283e-06       -1.8722
9.89206398937e-06      -1.87465
9.90214250592e-06      -1.87687
9.91222102246e-06      -1.87864
9.92229953901e-06      -1.88137
9.93237805555e-06      -1.88314
9.9424565721e-06      -1.88571
9.95253508864e-06      -1.88764
9.96261360519e-06      -1.89062
9.97269212173e-06      -1.89263
9.98277063828e-06       -1.8953
9.99284915483e-06        -1.897
1.00029276714e-05      0.354705
1.00130061879e-05      0.354705
1.00230847045e-05      0.354704
1.0033163221e-05      0.354704
1.00432417376e-05      0.354703
1.00533202541e-05      0.354703
1.00633987706e-05      0.354702
1.00734772872e-05      0.354702
1.00835558037e-05      0.354701
